mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__num_leaves,param_model__n_estimators,param_model__min_gain_to_split,param_model__min_data_in_leaf,param_model__max_depth,param_model__learning_rate,param_model__lambda_l2,param_model__lambda_l1,param_model__feature_fraction,param_model__bagging_freq,param_model__bagging_fraction,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
186.48686695098877,0.0,11.864275932312012,0.0,63,6000,0.05,300,10,0.07,50,0.5,0.7,1,0.9,"{'model__num_leaves': 63, 'model__n_estimators': 6000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 300, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26073.605526565123,-26073.605526565123,0.0,18
169.39969730377197,0.0,8.706037044525146,0.0,127,3000,0.05,200,10,0.07,0,1.0,0.7,1,0.6,"{'model__num_leaves': 127, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 200, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 0, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26365.739153179544,-26365.739153179544,0.0,33
168.0701241493225,0.0,5.909157752990723,0.0,127,5000,0.1,100,10,0.07,5,0.0,0.6,1,0.7,"{'model__num_leaves': 127, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 100, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 5, 'model__lambda_l1': 0, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26226.65208339243,-26226.65208339243,0.0,26
145.04899406433105,0.0,12.827910900115967,0.0,31,4000,0.05,100,-1,0.05,50,0.5,0.9,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 100, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26060.254918491366,-26060.254918491366,0.0,14
201.3138689994812,0.0,14.547163963317871,0.0,31,5000,0.05,300,8,0.03,50,0.0,0.9,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 300, 'model__max_depth': 8, 'model__learning_rate': 0.03, 'model__lambda_l2': 50, 'model__lambda_l1': 0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26322.850856568428,-26322.850856568428,0.0,31
179.26778078079224,0.0,13.278311252593994,0.0,63,3000,0.1,200,12,0.05,0,0.0,0.8,1,0.7,"{'model__num_leaves': 63, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 200, 'model__max_depth': 12, 'model__learning_rate': 0.05, 'model__lambda_l2': 0, 'model__lambda_l1': 0, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26087.170658977913,-26087.170658977913,0.0,19
128.02930283546448,0.0,8.400556802749634,0.0,63,3000,0.1,300,8,0.05,5,0.1,0.9,1,0.7,"{'model__num_leaves': 63, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 300, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__lambda_l2': 5, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26346.25861721396,-26346.25861721396,0.0,32
75.26300430297852,0.0,5.544148921966553,0.0,31,2000,0.02,100,10,0.07,50,0.1,0.6,1,0.7,"{'model__num_leaves': 31, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 100, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 50, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26285.117390008592,-26285.117390008592,0.0,29
164.36231398582458,0.0,13.253209114074707,0.0,63,4000,0.1,300,8,0.07,20,0.1,0.6,1,0.8,"{'model__num_leaves': 63, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 300, 'model__max_depth': 8, 'model__learning_rate': 0.07, 'model__lambda_l2': 20, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.8}",-26059.122813998776,-26059.122813998776,0.0,13
71.97436428070068,0.0,4.425921678543091,0.0,31,2000,0.0,50,8,0.05,20,1.0,0.9,1,0.9,"{'model__num_leaves': 31, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__lambda_l2': 20, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26535.60779774963,-26535.60779774963,0.0,38
166.1921510696411,0.0,2.014460802078247,0.0,127,5000,0.02,50,-1,0.07,20,0.5,0.6,1,0.8,"{'model__num_leaves': 127, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 50, 'model__max_depth': -1, 'model__learning_rate': 0.07, 'model__lambda_l2': 20, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.8}",-26250.43004092969,-26250.43004092969,0.0,27
161.12675094604492,0.0,6.390432834625244,0.0,63,5000,0.0,50,8,0.05,50,0.5,0.8,1,0.6,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26056.28152875213,-26056.28152875213,0.0,12
162.22711610794067,0.0,3.4704220294952393,0.0,63,5000,0.0,300,-1,0.05,10,0.0,0.9,1,0.9,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 300, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 10, 'model__lambda_l1': 0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26031.347470628054,-26031.347470628054,0.0,10
126.96373009681702,0.0,6.723412990570068,0.0,31,4000,0.02,300,10,0.05,20,0.5,0.8,1,0.7,"{'model__num_leaves': 31, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 300, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__lambda_l2': 20, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26064.300777270662,-26064.300777270662,0.0,17
